Record ID (System);Nav Customer No;Company name;Legal Name 1;Customer Status;Priority Customer;Solution hosted Air Support;Country;Country.Region;Country.Sub Region;VAT-Free;Invoice Type;Operator;Region + Tier;Invoicing every;Tails – PPS;Tails – OC-FW, Terr;Tails – OC-FW, SAT;Tails - OC-NOTAM;Tails - Last changed;Tails - Last changed by;OC Only;Blocked;Termination received;Termination as per;Churn Reported Date;Churn SaaS-method;Churn value;Avoidable/Un-avoidable;Churn reason;Closed, last invoice date;Value DKK last Invoice;Customer Since;Integrator;Current FPL System;FPL Binding date;NDA;NDA changed;NDA Responsible;Rolling Contract;Cancel Terms;Price Group;Price escalation %;Created (System);Supplier;Sales Responsible;EU Air Safety List;Binding Date FW;Blocked Date;Blocked by;Blocked Reason;Blocker
1026;COM13295;AERONEXUS CORPORATE;AERONEXUS CORPORATE;PotCust;;;United Kingdom of Great Britain and Northern Ireland - GB - Europe;Europe;Europe Northern;;;GA-BA;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;Sean McLean;;;;;;
1027;;Air Europa Express;AERONOVA S.L;PotCust;;;Spain - ES - Europe;Europe;Europe Southern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;FSP with PPS;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1028;;AEROPS GmbH;AEROPS GmbH;PotCust;;;Germany - DE - Europe;Europe;Europe Western;;;FSP;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;;;;;;;;;0,00;2020-10-03 10:02;;Anette Asklev;;;;;;
1029;COM13590;Aerospace Consortium Ltd.;Aerospace Consortium Ltd.;PotCust;;;Kenya - KE - Africa;Africa;Africa Sub-Saharan;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;All;;;;;0,00;;;;  ;;;None;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;2020-11-16;Air Support;No communication after signing, account now closed on request from RS;MB
1030;COM12343;Aerotaxi Prague (CB WX only);Aerotaxi s.r.o.;Customer;3;;Czechia - CZ - Europe;Europe;Europe Eastern;;Old;GA-BA;EUR5;12 months;0,00;0,00;0,00;0;2025-10-20;Lene Villumsen;;;;;;;0,00;;;;  ;2012-03-01;;PPS;;;;;;;;0,00;2020-10-03 10:02;;Sean McLean;;;;;;
1031;COM13075;AeroTEC LLC;AeroTEC LLC;PotCust;;;United States of America - US - Americas;Americas;America, Northern;;;GA-BA;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;None;;;;;;;;0,00;2020-10-03 10:02;;Brett Richard Danks;;;;;;
1032;COM12486;AEROVIAS DAP;AEROVIAS DAP;Customer;;;Chile - CL - Americas;Americas;America, Latin and the Caribbean;;Standard;AIRL;AME4;1 month;11,00;0,00;0,00;0;2026-07-02;Lene Villumsen;;;;;;;0,00;;;;  ;2013-05-01;;PPS;;;;;1M;20D;2012-2016;8,00;2020-10-03 10:02;;Brett Richard Danks;;;;;;
1033;COM13251;AeroVis Airlines Ltd;AeroVis Airlines Ltd;PotCust;;;Ukraine - UA - Europe;Europe;Europe Eastern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;RocketRoute;;;;;;;;0,00;2020-10-03 10:02;;Anette Asklev;;;;;;
1034;COM11012;AEROWEST GmbH.;AEROWEST GmbH.;Customer;2;;Germany - DE - Europe;Europe;Europe Western;;Old;GA-BA;EUR4;12 months;13,00;14,00;0,00;0;2026-02-05;Teresa Bass Mølholm;;;;;;;0,00;;;;  ;1998-08-01;;PPS;;;;;12M;1M;2011 or before;8,00;2020-10-03 10:02;;Matias Magnasco;;;;;;
1036;COM13490;AFRICA WORLD AIRLINES;AFRICA WORLD AIRLINES;PotCust;;;Ghana - GH - Africa;Africa;Africa Sub-Saharan;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1037;COM13115;AFRICAN EXPRESS AIRWAYS;AFRICAN EXPRESS AIRWAYS;PotCust;;;Kenya - KE - Africa;Africa;Africa Sub-Saharan;;Standard;AIRL;;1 month;0,00;0,00;0,00;0;;;;All;;;;;0,00;;;;  ;2016-11-01;;;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;Air Support;COVID-19 closure, no activity, no payment;Trine Lindekilde
1038;;A-Group;A-Group;Quarantine;;;Russian Federation - RU - Europe;Europe;Europe Eastern;;;GA-BA;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;Anette Asklev;;;;;;
1039;COM13665;Wael Omar;Wael Omar;NonCust;;;Egypt - EG - Africa;Africa;Africa Northern;;;;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;;;;;;;;;0,00;2020-10-03 10:02;;Oliver Williams;;;;;;
1040;;AIGLE AZUR;AIGLE AZUR;NonCust;;;France - FR - Europe;Europe;Europe Western;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1042;;Air Ailes;Air Ailes;PotCust;;;France - FR - Europe;Europe;Europe Western;;;GA-BA;;1 month;0,00;0,00;0,00;0;;;;All;;;;;0,00;;;;  ;;;RocketRoute;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;Air Support;Account correctly closed;Martin Bjerregaard
1043;COM12740;Excellent Air GmbH, Air Allgaeu;Excellent Air GmbH;Customer;2;;Germany - DE - Europe;Europe;Europe Western;;Standard;GA-BA;EUR4;1 month;12,00;0,00;0,00;0;2025-10-09;Lene Villumsen;;;;;;;0,00;;;;  ;2015-02-01;;PPS;;;;;1M;20D;2012-2016;8,00;2020-10-03 10:02;;Sean McLean;;;;;;
1044;COM11015;AIR ALSIE A/S;AIR ALSIE A/S;Customer;1;;Denmark - DK - Europe;Europe;Europe Northern;●;Standard;AIRL;EUR4;1 month;20,00;27,00;17,00;0;2026-08-04;Lene Villumsen;;;;;;;0,00;;;;  ;1989-12-01;;PPS;;;;;1M;20D;2012-2016;8,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1049;;AIR ANTWERP BV;AIR ANTWERP BV;NonCust;;;Belgium - BE - Europe;Europe;Europe Western;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;FSP with PPS;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1050;COM11254;AIR ARABIA;AIR ARABIA;PotCust;;;United Arab Emirates - AE - Asia;Asia;Middle East;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;FlightKeys;;;;;;;;0,00;2020-10-03 10:02;;Oliver Williams;;;;;;
1051;COM11413;Air Baltic;AIR BALTIC;Customer;2;;Latvia - LV - Europe;Europe;Europe Northern;;Standard;AIRL;EUR3;1 month;0,00;55,00;5,00;0;2026-04-28;Lene Villumsen;●;;;;;;0,00;;;;  ;2023-08-23;;Lufthansa Lido;2029-06-30;;;;Continues untill notice;1M;2023;8,00;2020-10-03 10:02;;Lasse Nilsson;;2024-01-31;2022-09-21;;;BK
1052;COM14293;Berkut Air;RSE State air company Berkut;PotCust;;;Kazakhstan - KZ - Asia;Asia;Middle East;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;Oliver Williams;;;;;;
1053;;Air Bishkek;Air Bishkek;NonCust;;;Kyrgyzstan - KG - Asia;Asia;Middle East;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;;;;;;;;;0,00;2020-10-03 10:02;;Oliver Williams;;;;;;
1054;;AIR BOHEMIA a.s;AIR BOHEMIA a.s;NonCust;;;Czechia - CZ - Europe;Europe;Europe Eastern;;;GA-BA;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;RocketRoute;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1055;COM13565;Air Botswana;Air Botswana Corporation;PotCust;2;;Botswana - BW - Africa;Africa;Africa Sub-Saharan;;;AIRL;AFR5;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;PPS;2028-06-30;;;;Continues untill notice;6M;2023;8,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1056;COM13519;AIR BOURGOGNE;AIR BOURGOGNE;NonCust;;;France - FR - Europe;Europe;Europe Western;;;GA-BA;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;RocketRoute;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1057;COM13759;AIR CAIRO;AIR CAIRO;PotCust;;;Egypt - EG - Africa;Africa;Africa Northern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;All;;;;;0,00;;;;  ;;;Navblue Navtech;2025-12-31;;;;;;;0,00;2020-10-03 10:02;;Matias Magnasco;;;;Air Support;Account closed correctly;Martin Bjerregaard
1058;COM13441;AIR CALEDONIE;"AIR CALEDONIE
AIR CALEDONIE INTERNATIONAL";PotCust;;;New Caledonia - NC - Oceania;Oceania;Melanesia;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Home built sytem;;;;;;;;0,00;2020-10-03 10:02;;John Tan;;;;;;
1059;COM13954;AIR CARGO GLOBAL;AIR CARGO GLOBAL;NonCust;;;Slovakia - SK - Europe;Europe;Europe Eastern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1060;;FREIGHT RUNNERS EXPRESS, INC. DBA AIR CHARTER EXPRESS;FREIGHT RUNNERS EXPRESS, INC. DBA AIR CHARTER EXPR;PotCust;;;United States of America - US - Americas;Americas;America, Northern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;;;;;;;;;0,00;2020-10-03 10:02;;Brett Richard Danks;;;;;;
1061;COM11502;Air Charter Scotland Ltd.;Air Charter Scotland Ltd.;Customer;2;;United Kingdom of Great Britain and Northern Ireland - GB - Europe;Europe;Europe Northern;;Standard;GA-BA;EUR4;1 month;9,00;0,00;0,00;0;2025-10-09;Lene Villumsen;;;2026-04-27;2026-07-31;2026-04-30;2026-08-31;0,00;Avoidable;One stop shop.  Cheaper price with FF.   Unchurned 12.08.2026. PSO route with JS31 next 5 years. FF unable to FPL on this type;;  ;2008-07-01;;PPS;;●;2026-08-12 14:55;Henrik Holm;1M;20D;2012-2016;8,00;2020-10-03 10:02;;Sean McLean;;2023-05-08;;;;
1064;;Siam Land Flying Co., Ltd.;Siam Land Flying Co., Ltd.;PotCust;;;Thailand - TH - Asia;Asia;Asia South-eastern;;;GA-BA;;1 month;3,00;0,00;0,00;0;2025-12-09;John Tan;;;;;;;0,00;;;;  ;;;Arinc Direct;;;;;;;;0,00;2020-10-03 10:02;;John Tan;;;;;;
1065;COM12919;Universal Air (AIR CM GLOBAL LTD);Universal Air;Customer;2;;Malta - MT - Europe;Europe;Europe Southern;;Standard;AIRL;EUR4;1 month;4,00;3,00;3,00;0;2025-11-04;Lene Villumsen;;;;;;;0,00;;;;  ;2016-03-01;;PPS;;;;;1M;20D;2012-2016;8,00;2020-10-03 10:02;;Sean McLean;;;2024-02-06;;;TRL
1067;;AIR CONGO;AIR CONGO;PotCust;2;;Congo - CG - Africa;Africa;Africa Sub-Saharan;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1068;;ASL Airlines Ireland;ASL Ireland (AIR CONTRACTORS);PotCust;;;Ireland - IE - Europe;Europe;Europe Northern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Sabre;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1069;COM12920;AIRCORSICA;AIR CORSICA;Customer;1;●;France - FR - Europe;Europe;Europe Western;;Standard;AIRL;EUR4;1 month;14,00;14,00;0,00;0;2026-05-05;Lene Villumsen;;;;;;;0,00;;;;  ;2016-07-01;;PPS;;;;;1M;20D;2012-2016;8,00;2020-10-03 10:02;;Matias Magnasco;;;;;;
1070;COM13722;Air Cote Divoire;AIR CÔTE D'IVOIRE;PotCust;1;;Côte d'Ivoire - CI - Africa;Africa;Africa Sub-Saharan;;Standard;AIRL;AFR4;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Navblue Navtech;;;;;;;;0,00;2020-10-03 10:02;;Matias Magnasco;;;;;;
1071;COM13625;AIR DJIBOUTI;AIR DJIBOUTI;Quarantine;2;●;Djibouti - DJ - Africa;Africa;Africa Sub-Saharan;;Standard;AIRL;AFR5;1 month;1,00;0,00;0,00;0;2025-10-09;Lene Villumsen;;All;2025-10-14;2025-10-14;2025-10-31;2025-10-31;51.739,00;Unavoidable;Missing payment has previously been churned, unchurned.;;  ;2021-10-01;;PPS;2027-09-30;;;;Continues untill notice;12M;2020-2021;8,00;2020-10-03 10:02;;Lasse Nilsson;;;2025-10-14;Air Support;No payment, no communication;TRL
1072;COM14192;Air Dolomiti;Air Dolomiti;PotCust;;;Italy - IT - Europe;Europe;Europe Southern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Lufthansa Lido;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1073;COM11910;Air Europa;Air Europa;PotCust;;;Spain - ES - Europe;Europe;Europe Southern;;Standard;AIRL;EUR2;1 month;0,00;0,00;0,00;0;;;;All;;;;;0,00;;;;  ;;;Lufthansa Lido;;;;;;;;0,00;2020-10-03 10:02;;Matias Magnasco;;;;Air Support;Account closed correctly;Martin Bjerregaard
1074;COM13974;AIR EXPLORE;AIR EXPLORE s.r.o;Customer;1;;Slovakia - SK - Europe;Europe;Europe Eastern;;Standard;AIRL;EUR4;1 month;0,00;5,00;4,00;0;2026-08-04;Lene Villumsen;●;;;;;;0,00;;;;  ;2022-02-01;;Uranos;;;;;Continues untill notice;1M;2022;8,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1075;COM11018;AIR GREENLAND;Air Greenland AS;Customer;1;●;Greenland - GL - Americas;Americas;America, Northern;;Standard;AIRL;EUR4;1 month;9,00;9,00;1,00;9;2026-03-31;Lene Villumsen;;;;;;;0,00;;;;  ;2001-05-01;;PPS;2030-04-30;;;;6M;6M;TR 2025;5,00;2020-10-03 10:02;;Peter Gravesen;;;;;;
1079;COM11427;VistaJet GmbH (Air Hamburg);VistaJet GmbH;Customer;2;;Germany - DE - Europe;Europe;Europe Western;;Standard;GA-BA;EUR3;1 month;34,00;37,00;0,00;0;2026-08-04;Lene Villumsen;;;;;;;0,00;;;;  ;2007-11-01;;PPS;2026-09-30;;;;;;;8,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1081;COM13226;Air Hollandia B.V.;Air Hollandia B.V.;NonCust;;;Netherlands - NL - Europe;Europe;Europe Western;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;None;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1082;COM13291;AIR HORIZONT;AIR HORIZONT LTD;Customer;2;;Malta - MT - Europe;Europe;Europe Southern;;Standard;AIRL;EUR5;1 month;4,00;0,00;0,00;0;2026-04-10;Lene Villumsen;;;;;;;0,00;;;;  ;2018-06-01;;PPS;;●;2026-08-21 14:49;Morten Brinch Nørgaard;1M;20D;2018-2019;8,00;2020-10-03 10:02;;Sean McLean;;;;;;
1083;COM12568;AIR ICELAND CONNECT;Icelandair ehf.;Customer;2;;Iceland - IS - Europe;Europe;Europe Northern;;Standard;AIRL;EUR4;1 month;6,00;6,00;6,00;0;2025-10-20;Lene Villumsen;;;;;;;0,00;;;;  ;2013-12-01;;PPS;2027-09-30;;;;Continues untill notice;6M;2012-2016;8,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1084;COM13984;Air Independence GmbH;Air Independence GmbH;PotCust;;;Germany - DE - Europe;Europe;Europe Western;;;GA-BA;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;FSP with PPS;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1087;COM14076;MINGALAR (AIR KBZ);Mingalar Aviation Services Company Limited;Customer;;●;Myanmar - MM - Asia;Asia;Asia South-eastern;;Standard;AIRL;APAC5;1 month;2,00;0,00;0,00;0;2025-10-20;Lene Villumsen;;;;;;;0,00;;;;  ;2022-08-03;;PPS;2027-10-31;;;;Continues untill notice;6M;2022;8,00;2020-10-03 10:02;;John Tan;;;;;;
1088;COM13142;Air Libya;AIR LIBYA;Customer;2;;Libya - LY - Africa;Africa;Africa Northern;;Old;AIRL;AFR4;6 months;5,00;6,00;5,00;0;2026-07-02;Bjarne Krog;;;;;;;0,00;;;;  ;2017-02-01;;PPS;;;;;6M;20D;2017;8,00;2020-10-03 10:02;;Matias Magnasco;;;;;;
1089;;Air Macau;AIR MACAU COMPANY LIMITED;PotCust;1;;Macao - MO - Asia;Asia;Asia Eastern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;John Tan;;;;;;
1090;COM14035;KM Malta Airlines (ex Air Malta);AIR MALTA;PotCust;;;Malta - MT - Europe;Europe;Europe Southern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Lufthansa Lido;2026-12-31;;;;;;;0,00;2020-10-03 10:02;;;;;2022-03-10;;;TRL
1091;COM13551;Air Manas;Air Manas Air Company LLC;PotCust;;;Kyrgyzstan - KG - Asia;Asia;Middle East;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Jepp Jetplanner;;;;;;;;0,00;2020-10-03 10:02;;Oliver Williams;;;;;;
1092;COM13004;Air Mediterranean;Air Mediterranean;Customer;3;;Greece - GR - Europe;Europe;Europe Southern;;Standard;AIRL;EUR5;1 month;1,00;0,00;0,00;0;2026-02-10;Trine Lindekilde;;;;;;;0,00;;;;  ;2018-01-01;;PPS;;;;;1M;20D;2012-2016;8,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1093;COM13878;AIR MOLDOVA;Airline Company AIR MOLDOVA Ltd;PotCust;;;Moldova, Republic of - MD - Europe;Europe;Europe Eastern;;Standard;AIRL;;1 month;0,00;0,00;0,00;0;;;;All;;;2023-05-16;;189.525,00;Unavoidable;Missing payment;;  ;2021-05-05;;Arinc Direct;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;2023-05-16;Air Support;Missing payment and communication;TRL
1094;COM13679;Air Mountain SA;Air Mountain SA;PotCust;;;Switzerland - CH - Europe;Europe;Europe Western;;Standard;GA-BA;;1 month;0,00;0,00;0,00;0;;;;All;;;;;0,00;;;;  ;2020-09-01;;PPS;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;2023-09-04;Air Support;Contract terminated by customer;TRL
1095;;Air Namibia;Air Namibia;PotCust;;;Namibia - NA - Africa;Africa;Africa Sub-Saharan;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;Lufthansa Lido;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1096;COM13589;Air North;AIR NORTH;PotCust;;;Canada - CA - Americas;Americas;America, Northern;;;AIRL;;1 month;0,00;0,00;0,00;0;;;;;;;;;0,00;;;;  ;;;SkyPlan;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;;;;
1097;;AIR NOSTRUM;AIR NOSTRUM;PotCust;;;Spain - ES - Europe;Europe;Europe Southern;;Standard;AIRL;EUR3;1 month;0,00;0,00;0,00;0;;;;All;;;;;0,00;;;;  ;;;Lufthansa Lido;2027-04-20;●;2025-12-19 10:08;Bodil Krogsgaard Vibjerg;;;;0,00;2020-10-03 10:02;;Matias Magnasco;;;;Air Support;Account closed correctly;Martin Bjerregaard
1098;COM13525;Air Ocean Maroc;AIR OCEAN MAROC;PotCust;;;Morocco - MA - Africa;Africa;Africa Northern;;Standard;GA-BA;;1 month;0,00;0,00;0,00;0;;;;All;;;2023-05-16;;51.805,00;Unavoidable;Missing payment;;  ;2020-09-17;;PPS;;;;;;;;0,00;2020-10-03 10:02;;Lasse Nilsson;;;2023-05-16;Air Support;Missing payment and communication;TRL
