Company.Nav Customer No,Company,Company.Customer Status,Company.Company name,Company.Country.Region,Company.Country.Sub Region,Company.Country,"Company.Closed, last invoice date", 2 022,Dev22-23, 2 023,Dev23-24, 2 024,Dev24-25,"2,025.00",Year to date,Last 12 months,Last year to date,Last financial year,Company.Invoice Type,Company.Region + Tier,Company.Operator,Balance,Balance NOT Due,Due 1-30 days,Due 31-60 days,Due 61-90 days,Due > 90 days,Record ID (System),Company.Fleet Size,Company.Customer Since,Company.Currency
COM11079,Luxembourg Air Services (DUCAIR) - Luxembourg,Customer,Luxembourg Air Services (DUCAIR),Europe,Europe Western,Luxembourg - LU - Europe,, 101 658,-133%,- 33 595,-373%, 91 785,11%,"102,201.00","75,953.00","120,196.00","57,958.00","102,201.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1025,7,2000-01-01,EUR
COM11082,HUMMINGBIRD AVIATION SERVICES - Sweden,Quarantine,HUMMINGBIRD AVIATION SERVICES,Europe,Europe Northern,Sweden - SE - Europe,, 51 139,12%, 57 094,19%, 68 075,-11%,"60,844.00",0.00,"22,136.00","38,708.00","60,844.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1026,4,2014-09-01,EUR
COM11083,EISELE Flugdienst GmbH - Germany,Customer,EISELE Flugdienst GmbH,Europe,Europe Western,Germany - DE - Europe,, 161 478,9%, 175 487,3%, 180 450,-10%,"162,610.00","106,839.00","174,274.00","95,176.00","162,610.00",Standard,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1027,7,2000-02-01,EUR
COM11084,EFS European Flight Service AB - Sweden,Customer,EFS European Flight Service AB,Europe,Europe Northern,Sweden - SE - Europe,, 247 733,4%, 256 714,-21%, 201 989,-2%,"198,488.00","126,508.00","208,622.00","116,374.00","198,488.00",Standard,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1028,7,2014-11-01,EUR
COM11093,ExecuJet Europe AG (part of Luxaviation Group) - Switzerland,PotCust,ExecuJet Europe AG (part of Luxaviation Group),Europe,Europe Western,Switzerland - CH - Europe,,- 9 267,-100%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1029,0,2020-06-01,EUR
COM11096,FAI rent-a-jet - Germany,PotCust,FAI rent-a-jet,Europe,Europe Western,Germany - DE - Europe,, 220 313,-8%, 201 975,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1030,18,1996-11-01,EUR
COM11100,GIESERS STAHLBAU GmbH - Germany,PotCust,GIESERS STAHLBAU GmbH,Europe,Europe Western,Germany - DE - Europe,, 8 034,0%, 8 043,0%, 8 054,-100%,0.00,0.00,0.00,0.00,0.00,Old,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1031,1,2002-08-01,EUR
COM11102,Flying Service (Flying Group) - Belgium,Customer,Flying Service (Flying Group),Europe,Europe Western,Belgium - BE - Europe,, 253 423,9%, 275 470,18%, 323 857,7%,"345,162.00",0.00,"345,162.00",0.00,"345,162.00",Old,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1032,24,1999-12-01,EUR
COM11103,FLYVEVÅBNET ESK 721 - Denmark,Customer,FLYVEVÅBNET ESK 721,Europe,Europe Northern,Denmark - DK - Europe,, 145 542,60%, 232 674,-39%, 141 361,37%,"193,065.00","-8,658.00","157,048.00","27,359.00","193,065.00",Old,EUR5,MIL,"-10,836.00",0.00,0.00,0.00,0.00,"-10,836.00",1033,8,1994-11-01,EUR
COM11121,International Jet Management - Austria,PotCust,International Jet Management,Europe,Europe Western,Austria - AT - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,EUR3,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1034,0,2015-05-01,EUR
COM11124,JET AVIATION Business Jets - Germany,PotCust,JET AVIATION Business Jets,Europe,Europe Western,Germany - DE - Europe,, 28 486,5%, 29 999,-82%, 5 399,-100%,0.00,0.00,0.00,0.00,0.00,Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1035,1,1995-01-01,EUR
COM11125,ImperialJet Europe GmbH - Germany,Quarantine,ImperialJet Europe GmbH,Europe,Europe Western,Germany - DE - Europe,2025-02-28, 54 145,-8%, 49 956,20%, 60 024,-89%,"6,555.00",0.00,0.00,"6,555.00","6,555.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1036,2,2007-03-01,EUR
COM11127,JETFLITE OY - Finland,Customer,JETFLITE OY,Europe,Europe Northern,Finland - FI - Europe,, 106 057,-23%, 81 579,-5%, 77 777,7%,"83,185.00","52,468.00","87,145.00","48,508.00","83,185.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1037,3,1997-01-01,EUR
COM11128,JetNetherlands BV (ASL nv) - Netherlands,Customer,JetNetherlands BV (ASL nv),Europe,Europe Western,Netherlands - NL - Europe,, 128 991,-9%, 117 176,1%, 118 694,-11%,"105,845.00","76,685.00","120,808.00","61,721.00","105,845.00",Standard,EUR4,GA-BA,"12,022.00",0.00,"12,022.00",0.00,0.00,0.00,1038,8,2002-11-01,EUR
COM11129,JIVAIR AB - Sweden,Customer,JIVAIR AB,Europe,Europe Northern,Sweden - SE - Europe,, 31 728,-20%, 25 342,7%, 26 995,12%,"30,166.00","15,938.00","31,475.00","14,630.00","30,166.00",Old,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1039,1,1992-03-01,EUR
COM11138,LUXAVIATION UK (Part of Luxaviation Group. Former LEA London executive Aviation) - United Kingdom of Great Britain and Northern Ireland,PotCust,LUXAVIATION UK (Part of Luxaviation Group. Former LEA London executive Aviation),Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,, 227 107,-53%, 106 904,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1040,0,2018-12-01,EUR
COM11139,LUFTTRANSPORT F.W. A/S - Norway,Customer,LUFTTRANSPORT F.W. A/S,Europe,Europe Northern,Norway - NO - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1041,0,1998-10-01,EUR
COM11140,LUXAIR S.A. - Luxembourg,Customer,LUXAIR S.A.,Europe,Europe Western,Luxembourg - LU - Europe,, 432 128,39%, 600 158,5%, 632 345,14%,"720,085.00","790,709.00","790,709.00","720,085.00","720,085.00",Old,EUR4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1042,21,1998-07-01,EUR
COM11152,NORTH FLYING A/S - Denmark,Customer,NORTH FLYING A/S,Europe,Europe Northern,Denmark - DK - Europe,, 125 451,1%, 126 542,-10%, 114 456,12%,"128,019.00","89,644.00","142,130.00","75,532.00","128,019.00",Standard,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1043,8,1990-12-01,EUR
COM11155,ProAir Aviation GmbH - Germany,Customer,ProAir Aviation GmbH,Europe,Europe Western,Germany - DE - Europe,, 262 433,42%, 371 843,1%, 377 329,49%,"561,422.00","393,663.00","639,812.00","315,274.00","561,422.00",Standard,EUR3,GA-BA,"58,566.00",0.00,"58,566.00",0.00,0.00,0.00,1044,32,1998-01-01,EUR
COM11161,QUICK AIR JET CHARTER GmbH - Germany,Customer,QUICK AIR JET CHARTER GmbH,Europe,Europe Western,Germany - DE - Europe,, 105 535,6%, 111 561,-64%, 40 658,126%,"91,714.00","55,627.00","95,912.00","51,429.00","91,714.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1045,11,1995-07-01,EUR
COM11178,STAR-LINE - Denmark,PotCust,STAR-LINE,Europe,Europe Northern,Denmark - DK - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1046,0,,EUR
COM11181,SUN AIR OF SCANDINAVIA A/S (SUN-AIR Aviation Group) - Denmark,Customer,SUN AIR OF SCANDINAVIA A/S (SUN-AIR Aviation Group),Europe,Europe Northern,Denmark - DK - Europe,, 133 223,19%, 158 751,-10%, 142 478,13%,"161,601.00","106,644.00","171,160.00","97,085.00","161,601.00",Standard,EUR4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1047,7,1990-12-01,EUR
COM11189,FÖRSVARSMAKTEN (SWEDISH AIR FORCE) - Sweden,NonCust,FÖRSVARSMAKTEN (SWEDISH AIR FORCE),Europe,Europe Northern,Sweden - SE - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,EUR4,MIL,0.00,0.00,0.00,0.00,0.00,0.00,1048,0,1999-11-09,EUR
COM11190,Swiss Air Force - Switzerland,Customer via,Swiss Air Force,Europe,Europe Western,Switzerland - CH - Europe,, 747 419,7%, 799 009,34%,1 074 032,-87%,"141,839.00",0.00,"141,839.00",0.00,"141,839.00",Old,EUR4,MIL,0.00,0.00,0.00,0.00,0.00,0.00,1049,5,2003-11-01,EUR
COM11193,Jet Executive International - Germany,Customer,Jet Executive International,Europe,Europe Western,Germany - DE - Europe,, 121 858,4%, 127 172,8%, 136 979,-68%,"44,109.00","30,671.00","49,057.00","25,723.00","44,109.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1050,4,1997-10-01,EUR
COM11196,TYROL AIR AMBULANCE GmbH - Austria,Customer,TYROL AIR AMBULANCE GmbH,Europe,Europe Western,Austria - AT - Europe,, 92 033,11%, 101 984,10%, 112 308,7%,"120,130.00","62,792.00","112,871.00","70,051.00","120,130.00",Standard,EUR4,GA-BA,"8,831.00",0.00,"8,831.00",0.00,0.00,0.00,1051,5,2001-12-01,EUR
COM11201,VLM AIRLINES (TEST KONTO),NonCust,VLM AIRLINES (TEST KONTO),,,,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old,,,0.00,0.00,0.00,0.00,0.00,0.00,1052,0,,USD
COM11204,German Airways (Former: WDL) - Germany,Customer,German Airways (Former: WDL),Europe,Europe Western,Germany - DE - Europe,, 217 931,50%, 326 503,10%, 358 388,9%,"389,126.00","249,708.00","412,492.00","226,342.00","389,126.00",Standard,EUR4,AIRL,"38,608.00",0.00,"38,608.00",0.00,0.00,0.00,1053,8,1994-10-01,EUR
COM11206,WINDROSE AIR Jetcharter GmbH - Germany,Customer,WINDROSE AIR Jetcharter GmbH,Europe,Europe Western,Germany - DE - Europe,, 105 922,-6%, 99 815,14%, 113 928,20%,"136,644.00","67,075.00","120,387.00","83,331.00","136,644.00",Standard,EUR4,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1054,8,1994-09-01,EUR
COM11209,NORWEGIAN AIR SHUTTLE ASA - Norway,PotCust,NORWEGIAN AIR SHUTTLE ASA,Europe,Europe Northern,Norway - NO - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,EUR1,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1055,0,2005-11-01,EUR
COM11219,BAE Systems Corporate Air Travel Ltd. - United Kingdom of Great Britain and Northern Ireland,PotCust,BAE Systems Corporate Air Travel Ltd.,Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1056,0,2005-02-01,EUR
COM11220,Aurigny Air Services Ltd. - Guernsey,Customer,Aurigny Air Services Ltd.,Europe,Europe Northern,Guernsey - GG - Europe,, 134 959,8%, 145 913,55%, 226 484,-3%,"220,207.00",0.00,"220,207.00",0.00,"220,207.00",Old,EUR4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1057,11,2005-03-01,EUR
COM11223,BLUE AIR - Romania,PotCust,BLUE AIR,Europe,Europe Eastern,Romania - RO - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,EUR5,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1058,0,2015-05-01,EUR
COM11224,SIPJ SONNIG International Private Jet - United Arab Emirates,PotCust,SIPJ SONNIG International Private Jet,Asia,Middle East,United Arab Emirates - AE - Asia,, 80 258,-56%, 35 297,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1059,0,2013-08-01,EUR
COM11228,Falcon Wings - United Arab Emirates,PotCust,Falcon Wings,Asia,Middle East,United Arab Emirates - AE - Asia,, 87 123,-8%, 80 117,-100%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1060,0,2013-08-01,EUR
COM11230,(Duplicate) Falcon Jet Aviation - United Arab Emirates,NonCust,(Duplicate) Falcon Jet Aviation,Asia,Middle East,United Arab Emirates - AE - Asia,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1061,0,,EUR
COM11231,WX Support ApS - Denmark,NonCust,WX Support ApS,Europe,Europe Northern,Denmark - DK - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,,0.00,0.00,0.00,0.00,0.00,0.00,1062,0,,DKK
COM11236,Bookajet Ltd. Operations Department - United Kingdom of Great Britain and Northern Ireland,PotCust,Bookajet Ltd. Operations Department,Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,, 37 562,-100%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1063,0,2009-09-01,EUR
COM11254,AIR ARABIA - United Arab Emirates,PotCust,AIR ARABIA,Asia,Middle East,United Arab Emirates - AE - Asia,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1064,0,,USD
COM11255,Aviation Services Management FZE (ASM) - United Arab Emirates,Customer,Aviation Services Management FZE (ASM),Asia,Middle East,United Arab Emirates - AE - Asia,, 79 282,7%, 84 541,39%, 117 424,23%,"144,655.00","81,926.00","140,210.00","86,371.00","144,655.00",New FSP,APAC5,FSP,"16,620.00",0.00,"16,620.00",0.00,0.00,0.00,1065,2,2012-11-01,EUR
COM11259,RusAero Open JSC (CCAS) - Russian Federation,Quarantine,RusAero Open JSC (CCAS),Europe,Europe Eastern,Russian Federation - RU - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Old FSP,,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1066,1,2007-10-01,EUR
COM11288,Avinode AB - Sweden,NonCust,Avinode AB,Europe,Europe Northern,Sweden - SE - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,1067,0,,EUR
COM11297,Blue Islands Ltd. - Guernsey,NonCust,Blue Islands Ltd.,Europe,Europe Northern,Guernsey - GG - Europe,2025-10-31, 125 875,3%, 129 430,6%, 137 741,-16%,"115,761.00",0.00,"37,438.00","78,322.00","115,761.00",Standard,EUR5,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1068,5,2006-02-01,EUR
,,,,,,,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,1069,,,
COM11312,Luxaviation S.A. (Part of Luxaviation Group) - Luxembourg,PotCust,Luxaviation S.A. (Part of Luxaviation Group),Europe,Europe Western,Luxembourg - LU - Europe,, 55 172,24%, 68 157,-61%, 26 741,-100%,0.00,0.00,0.00,0.00,0.00,Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1070,3,2018-10-01,EUR
COM11314,Arab Wings - Jordan,Customer,Arab Wings,Asia,Middle East,Jordan - JO - Asia,, 258 569,-7%, 239 654,24%, 297 105,-11%,"264,255.00","-35,828.00","15,087.00","213,340.00","264,255.00",Standard,APAC4,GA-BA,"5,026.00",0.00,"5,026.00",0.00,0.00,0.00,1071,10,2006-05-01,EUR
COM11319,MEDAVIA - Malta,PotCust,MEDAVIA,Europe,Europe Southern,Malta - MT - Europe,, 12 409,4%, 12 965,8%, 14 009,-64%,"5,014.00",0.00,0.00,"5,014.00","5,014.00",Standard,EUR5,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1072,0,2006-12-01,EUR
COM11327,Lancelot - Spain,Customer,Lancelot,Europe,Europe Southern,Spain - ES - Europe,, 178 303,-19%, 145 228,8%, 156 147,8%,"168,172.00","139,441.00","213,883.00","93,730.00","168,172.00",New FSP,EUR5,FSP,"23,477.00",0.00,"23,477.00",0.00,0.00,0.00,1073,7,2007-01-01,EUR
COM11328,HADID Int. services Ltd. - United Arab Emirates,Customer,HADID Int. services Ltd.,Asia,Middle East,United Arab Emirates - AE - Asia,, 56 516,2%, 57 369,17%, 67 337,12%,"75,345.00","30,273.00","68,318.00","37,300.00","75,345.00",Old FSP,APAC5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1074,0,2009-11-01,EUR
COM11331,JETEX FZE - United Arab Emirates,Customer,JETEX FZE,Asia,Middle East,United Arab Emirates - AE - Asia,, 296 562,-8%, 273 179,-7%, 253 296,20%,"302,736.00","234,182.00","376,580.00","160,338.00","302,736.00",New FSP,APAC5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1075,0,2009-04-01,EUR
COM11332,JET TIME (old) - Denmark,NonCust,JET TIME (old),Europe,Europe Northern,Denmark - DK - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,Standard,,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1076,0,,EUR
COM11340,NAC Nordic Aviation Capital - Denmark,PotCust,NAC Nordic Aviation Capital,Europe,Europe Northern,Denmark - DK - Europe,,  ,0%,  ,0%,  ,0%,0.00,0.00,0.00,0.00,0.00,,,GA-BA,0.00,0.00,0.00,0.00,0.00,0.00,1077,0,2018-04-01,EUR
COM11343,ASL nv (Air Service Leige NV) MOTHER COMPANY - Belgium,Customer,ASL nv (Air Service Leige NV) MOTHER COMPANY,Europe,Europe Western,Belgium - BE - Europe,, 318 043,-7%, 296 764,7%, 318 951,11%,"354,264.00","225,545.00","386,968.00","192,841.00","354,264.00",Standard,EUR3,GA-BA,"61,085.00",0.00,"31,159.00","29,926.00",0.00,0.00,1078,30,2006-02-01,EUR
COM11345,EASTERN AIRWAYS (UK) Ltd. - United Kingdom of Great Britain and Northern Ireland,NonCust,EASTERN AIRWAYS (UK) Ltd.,Europe,Europe Northern,United Kingdom of Great Britain and Northern Ireland - GB - Europe,2025-10-31, 254 114,17%, 296 179,36%, 404 189,-12%,"355,575.00",0.00,"94,383.00","261,192.00","355,575.00",Standard,EUR4,AIRL,0.00,0.00,0.00,0.00,0.00,0.00,1079,17,2013-07-01,EUR
COM11350,Q-Gate & Interflight Services - Germany,Customer,Q-Gate & Interflight Services,Europe,Europe Western,Germany - DE - Europe,, 74 927,-43%, 43 045,6%, 45 651,2%,"46,406.00","25,920.00","50,343.00","21,983.00","46,406.00",Old FSP,EUR5,FSP,0.00,0.00,0.00,0.00,0.00,0.00,1080,0,2006-10-01,EUR
